"cve.CVE_data_meta.ID",lastModifiedDate,yearandcve,v3BaseScore,v2BaseScore,v2ExploitScore,v3ExploitScore,linecount,cve,v3impact,v2impact,v3Severity,description,"cve.problemtype.problemtype_data{}.description{}.value",NodescriptionLength,Nolinecount,Nov2BaseScore,Nov2ExploitScore,Nov3BaseScore,Nov3ExploitScore,counted,descriptionLength
"CVE-2020-17528","2020-12-16T15:58Z","2020-17528","9.1","6.4","10.0","3.9",103,17528,HIGH,PARTIAL,CRITICAL,"Out-of-bounds Write vulnerability in TCP stack of Apache NuttX (incubating) versions up to and including 9.1.0 and 10.0.0 allows attacker to corrupt memory by supplying arbitrary urgent data pointer offsets within TCP packets including beyond the length of the packet.","CWE-787",268,103,"6.4","10.0","9.1","3.9","400.4",268
"CVE-2021-20791","2021-09-29T19:12Z","2021-20791","9.3","6.4","10.0","3.9",95,20791,HIGH,PARTIAL,CRITICAL,"Improper access control vulnerability in RevoWorks Browser 2.1.230 and earlier allows an attacker to bypass access restriction and to exchange unauthorized files between the local environment and the isolated environment or settings of the web browser via unspecified vectors.","CWE-269",276,95,"6.4","10.0","9.3","3.9","400.6",276
"CVE-2020-35465","2020-12-17T17:15Z","2020-35465","9.8","10.0","10.0","3.9",89,35465,HIGH,COMPLETE,CRITICAL,"The FullArmor HAPI File Share Mount Docker image through 2020-12-14 contains a blank password for the root user. Systems deployed using affected versions of the FullArmor HAPI File Share Mount container may allow the remote attacker to achieve root access with a blank password.","CWE-306",278,89,"10.0","10.0","9.8","3.9","400.7",278
"CVE-2021-44655","2022-03-29T16:28Z","2021-44655","9.8","7.5","10.0","3.9",98,44655,HIGH,PARTIAL,CRITICAL,"Online Pre-owned/Used Car Showroom Management System 1.0 contains a SQL injection authentication bypass vulnerability. Admin panel authentication can be bypassed due to SQL injection vulnerability in the login form allowing attacker to get admin access on the application.","CWE-89",272,98,"7.5","10.0","9.8","3.9","401.2",272
"CVE-2020-24383","2020-12-15T02:04Z","2020-24383","9.1","6.4","10.0","3.9",94,24383,HIGH,PARTIAL,CRITICAL,"An issue was discovered in FNET through 4.6.4. The code for processing resource records in mDNS queries doesn't check for proper '\0' termination of the resource record name string, leading to an out-of-bounds read, and potentially causing information leak or Denial-or-Service.","CWE-125",278,94,"6.4","10.0","9.1","3.9","401.4",278
"CVE-2018-19063","2018-12-11T15:43Z","2018-19063","9.8","10.0","10.0","3.9",128,19063,HIGH,COMPLETE,CRITICAL,"An issue was discovered on Foscam C2 devices with System Firmware 1.11.1.8 and Application Firmware 2.72.1.32, and Opticam i5 devices with System Firmware 1.5.2.11 and Application Firmware 2.21.1.128. The admin account has a blank password.","CWE-798",240,128,"10.0","10.0","9.8","3.9","401.7",240
"CVE-2019-18580","2019-12-16T21:16Z","2019-18580","10.0","10.0","10.0","3.9",88,18580,HIGH,COMPLETE,CRITICAL,"Dell EMC Storage Monitoring and Reporting version 4.3.1 contains a Java RMI Deserialization of Untrusted Data vulnerability. A remote unauthenticated attacker may potentially exploit this vulnerability by sending a crafted RMI request to execute arbitrary code on the target host.","CWE-502",280,88,"10.0","10.0","10.0","3.9","401.9",280
"CVE-2021-33884","2021-09-01T16:08Z","2021-33884","9.1","5.0","10.0","3.9",110,33884,NONE,NONE,CRITICAL,"An Unrestricted Upload of File with Dangerous Type vulnerability in B. Braun SpaceCom2 prior to 012U000062 allows remote attackers to upload any files to the /tmp directory of the device through the webpage API. This can result in critical files being overwritten.","CWE-434",264,110,"5.0","10.0","9.1","3.9","402.0",264
"CVE-2019-17361","2020-08-24T17:37Z","2019-17361","9.8","6.8","8.6","3.9",125,17361,HIGH,PARTIAL,CRITICAL,"In SaltStack Salt through 2019.2.0, the salt-api NET API with the ssh client enabled is vulnerable to command injection. This allows an unauthenticated attacker with network access to the API endpoint to execute arbitrary code on the salt-api host.","CWE-77",248,125,"6.8","8.6","9.8","3.9","402.1",248
"CVE-2021-22057","2022-01-03T19:04Z","2021-22057","9.8","7.5","10.0","3.9",112,22057,HIGH,PARTIAL,CRITICAL,"VMware Workspace ONE Access 21.08, 20.10.0.1, and 20.10 contain an authentication bypass vulnerability. A malicious actor, who has successfully provided first-factor authentication, may be able to obtain second-factor authentication provided by VMware Verify.","CWE-287",259,112,"7.5","10.0","9.8","3.9","402.2",259
"CVE-2020-28347","2021-07-21T11:39Z","2020-28347","9.8","10.0","10.0","3.9",121,28347,HIGH,COMPLETE,CRITICAL,"tdpServer on TP-Link Archer A7 AC1750 devices before 201029 allows remote attackers to execute arbitrary code via the slave_mac parameter. NOTE: this issue exists because of an incomplete fix for CVE-2020-10882 in which shell quotes are mishandled.","CWE-78",248,121,"10.0","10.0","9.8","3.9","402.7",248
"CVE-2021-45986","2022-02-08T15:38Z","2021-45986","9.8","7.5","10.0","3.9",125,45986,HIGH,PARTIAL,CRITICAL,"Tenda routers G1 and G3 v15.11.0.17(9502)_CN were discovered to contain a command injection vulnerability in the function formSetUSBShareInfo. This vulnerability allows attackers to execute arbitrary commands via the usbOrdinaryUserName parameter.","CWE-77",247,125,"7.5","10.0","9.8","3.9","403.2",247
"CVE-2021-39063","2021-12-15T21:27Z","2021-39063","9.1","6.4","10.0","3.9",107,39063,HIGH,PARTIAL,CRITICAL,"IBM Spectrum Protect Plus 10.1.0.0 through 10.1.8.x uses Cross-Origin Resource Sharing (CORS) which could allow an attacker to carry out privileged actions and retrieve sensitive information due to a misconfiguration in access control headers. IBM X-Force ID: 214956.","CWE-346",267,107,"6.4","10.0","9.1","3.9","403.4",267
"CVE-2021-29393","2022-02-09T16:49Z","2021-29393","9.8","10.0","10.0","3.9",93,29393,HIGH,COMPLETE,CRITICAL,"Remote Code Execution in cominput.jsp and comoutput.jsp in Northstar Technologies Inc NorthStar Club Management 6.3 allows remote unauthenticated users to inject and execute arbitrary system commands via the unsanitized user-controlled ""command"" and ""commandvalues"" parameters.","CWE-78",277,93,"10.0","10.0","9.8","3.9","403.7",277
"CVE-2020-15178","2020-09-21T17:07Z","2020-15178","9.3","4.3","8.6","2.8",99,15178,HIGH,NONE,CRITICAL,"In PrestaShop contactform module (prestashop/contactform) before version 4.3.0, an attacker is able to inject JavaScript while using the contact form. The `message` field was incorrectly unescaped, possibly allowing attackers to execute arbitrary JavaScript in a victim's browser.","CWE-79",280,99,"4.3","8.6","9.3","2.8","404.0",280
"CVE-2020-26728","2022-02-22T18:03Z","2020-26728","9.8","7.5","10.0","3.9",130,26728,HIGH,PARTIAL,CRITICAL,"A vulnerability was discovered in Tenda AC9 v3.0 V15.03.06.42_multi and Tenda AC9 V1.0 V15.03.05.19(6318)_CN which allows for remote code execution via shell metacharacters in the guestuser field to the __fastcall function with a POST request.","NVD-CWE-noinfo",243,130,"7.5","10.0","9.8","3.9","404.2",243
"CVE-2021-44557","2021-12-13T19:24Z","2021-44557","9.1","6.4","10.0","3.9",94,44557,HIGH,PARTIAL,CRITICAL,"National Library of the Netherlands multiNER <= c0440948057afc6e3d6b4903a7c05e666b94a3bc is affected by an XML External Entity (XXE) vulnerability in multiNER/ner.py. Since XML parsing resolves external entities, a malicious XML stream could leak internal files and/or cause a DoS.","CWE-611",281,94,"6.4","10.0","9.1","3.9","404.4",281
"CVE-2021-43033","2021-12-06T16:59Z","2021-43033","9.8","10.0","10.0","3.9",90,43033,HIGH,COMPLETE,CRITICAL,"An issue was discovered in Kaseya Unitrends Backup Appliance before 10.5.5. Multiple functions in the bpserverd daemon were vulnerable to arbitrary remote code execution as root. The vulnerability was caused by untrusted input (received by the server) being passed to system calls.","CWE-20",281,90,"10.0","10.0","9.8","3.9","404.7",281
"CVE-2021-21960","2022-02-09T15:45Z","2021-21960","9.8","7.5","10.0","3.9",100,21960,HIGH,PARTIAL,CRITICAL,"A stack-based buffer overflow vulnerability exists in both the LLMNR functionality of Sealevel Systems, Inc. SeaConnect 370W v1.3.34. A specially-crafted network packet can lead to remote code execution. An attacker can send a malicious packet to trigger this vulnerability.","CWE-787",274,100,"7.5","10.0","9.8","3.9","405.2",274
"CVE-2021-38948","2021-11-03T16:27Z","2021-38948","9.1","6.4","10.0","3.9",113,38948,HIGH,PARTIAL,CRITICAL,"IBM InfoSphere Information Server 11.7 is vulnerable to an XML External Entity Injection (XXE) attack when processing XML data. A remote attacker could exploit this vulnerability to expose sensitive information or consume memory resources. IBM X-Force ID: 211402.","CWE-91",263,113,"6.4","10.0","9.1","3.9","405.4",263
"CVE-2020-35187","2020-12-17T16:26Z","2020-35187","9.8","10.0","10.0","3.9",90,35187,HIGH,COMPLETE,CRITICAL,"The official telegraf docker images before 1.9.4-alpine (Alpine specific) contain a blank password for a root user. System using the telegraf docker container deployed by affected versions of the docker image may allow a remote attacker to achieve root access with a blank password.","CWE-306",282,90,"10.0","10.0","9.8","3.9","405.7",282
"CVE-2020-12493","2021-11-04T17:37Z","2020-12493","10.0","10.0","10.0","3.9",88,12493,HIGH,COMPLETE,CRITICAL,"An open port used for debugging in SWARCOs CPU LS4000 Series with versions starting with G4... grants root access to the device without access control via network. A malicious user could use this vulnerability to get access to the device and disturb operations with connected devices.","NVD-CWE-Other",284,88,"10.0","10.0","10.0","3.9","405.9",284
"CVE-2021-21825","2021-08-26T19:14Z","2021-21825","9.8","7.5","10.0","3.9",88,21825,HIGH,PARTIAL,CRITICAL,"A heap-based buffer overflow vulnerability exists in the XML Decompression PlainTextUncompressor::UncompressItem functionality of AT&T Labs’ Xmill 0.7. A specially crafted XMI file can lead to remote code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-787",287,88,"7.5","10.0","9.8","3.9","406.2",287
"CVE-2021-36582","2021-09-28T14:57Z","2021-36582","9.8","10.0","10.0","3.9",93,36582,HIGH,COMPLETE,CRITICAL,"In Kooboo CMS 2.1.1.0, it is possible to upload a remote shell (e.g., aspx) to the server and then call upon it to receive a reverse shell from the victim server. The files are uploaded to /Content/Template/root/reverse-shell.aspx and can be simply triggered by browsing that URL.","CWE-434",280,93,"10.0","10.0","9.8","3.9","406.7",280
"CVE-2021-33725","2021-10-18T14:15Z","2021-33725","9.1","5.0","10.0","3.9",101,33725,NONE,NONE,CRITICAL,"A vulnerability has been identified in SINEC NMS (All versions < V1.0 SP2 Update 1). The affected system allows to delete arbitrary files or directories under a user controlled path and does not correctly check if the relative path is still within the intended target directory.","CWE-22",278,101,"5.0","10.0","9.1","3.9","407.0",278
"CVE-2021-27476","2022-03-30T16:45Z","2021-27476","9.8","7.5","10.0","3.9",94,27476,HIGH,PARTIAL,CRITICAL,"A vulnerability exists in the SaveConfigFile function of the RACompare Service, which may allow for OS command injection. This vulnerability may allow a remote, unauthenticated attacker to execute arbitrary commands in Rockwell Automation FactoryTalk AssetCentre v10.00 and earlier.","CWE-78",282,94,"7.5","10.0","9.8","3.9","407.2",282
"CVE-2020-36331","2021-12-01T14:44Z","2020-36331","9.1","6.4","10.0","3.9",161,36331,HIGH,PARTIAL,CRITICAL,"A flaw was found in libwebp in versions before 1.0.1. An out-of-bounds read was found in function ChunkAssignData. The highest threat from this vulnerability is to data confidentiality and to the service availability.","CWE-125",217,161,"6.4","10.0","9.1","3.9","407.4",217
"CVE-2020-16152","2021-11-18T16:47Z","2020-16152","9.8","10.0","10.0","3.9",102,16152,HIGH,COMPLETE,CRITICAL,"The NetConfig UI administrative interface in Extreme Networks ExtremeWireless Aerohive HiveOS and IQ Engine through 10.0r8a allows attackers to execute PHP code as the root user via remote HTTP requests that insert this code into a log file and then traverse to that file.","CWE-829",272,102,"10.0","10.0","9.8","3.9","407.7",272
"CVE-2021-21829","2021-08-26T19:29Z","2021-21829","9.8","7.5","10.0","3.9",88,21829,HIGH,PARTIAL,CRITICAL,"A heap-based buffer overflow vulnerability exists in the XML Decompression EnumerationUncompressor::UncompressItem functionality of AT&T Labs’ Xmill 0.7. A specially crafted XMI file can lead to remote code execution. An attacker can provide a malicious file to trigger this vulnerability.","CWE-91",289,88,"7.5","10.0","9.8","3.9","408.2",289
"CVE-2020-36330","2021-11-30T19:43Z","2020-36330","9.1","6.4","10.0","3.9",157,36330,HIGH,PARTIAL,CRITICAL,"A flaw was found in libwebp in versions before 1.0.1. An out-of-bounds read was found in function ChunkVerifyAndAssign. The highest threat from this vulnerability is to data confidentiality and to the service availability.","CWE-125",222,157,"6.4","10.0","9.1","3.9","408.4",222
"CVE-2021-37913","2021-09-28T15:13Z","2021-37913","9.8","10.0","10.0","3.9",96,37913,HIGH,COMPLETE,CRITICAL,"The HGiga OAKlouds mobile portal does not filter special characters of the IPv6 Gateway parameter of the network interface card setting page. Remote attackers can use this vulnerability to perform command injection and execute arbitrary commands in the system without logging in.","CWE-78",279,96,"10.0","10.0","9.8","3.9","408.7",279
"CVE-2021-24666","2021-10-05T17:55Z","2021-24666","9.8","6.8","8.6","3.9",94,24666,HIGH,PARTIAL,CRITICAL,"The Podlove Podcast Publisher WordPress plugin before 3.5.6 contains a 'Social & Donations' module (not activated by default), which adds the rest route '/services/contributor/(?P<id>[\d]+), takes an 'id' and 'category' parameters as arguments. Both parameters can be used for the SQLi.","CWE-89",286,94,"6.8","8.6","9.8","3.9","409.1",286
"CVE-2021-38294","2021-11-23T19:44Z","2021-38294","9.8","7.5","10.0","3.9",112,38294,HIGH,PARTIAL,CRITICAL,"A Command Injection vulnerability exists in the getTopologyHistory service of the Apache Storm 2.x prior to 2.2.1 and Apache Storm 1.x prior to 1.2.4. A specially crafted thrift request to the Nimbus server allows Remote Code Execution (RCE) prior to authentication.","CWE-77",266,112,"7.5","10.0","9.8","3.9","409.2",266
"CVE-2020-11684","2021-07-21T11:39Z","2020-11684","9.1","6.4","10.0","3.9",95,11684,HIGH,PARTIAL,CRITICAL,"AT91bootstrap before 3.9.2 does not properly wipe encryption and authentication keys from memory before passing control to a less privileged software component. This can be exploited to disclose these keys and subsequently encrypt and sign the next boot stage (such as the bootloader).","CWE-212",285,95,"6.4","10.0","9.1","3.9","409.4",285
"CVE-2020-24649","2020-10-21T17:24Z","2020-24649","9.8","10.0","10.0","3.9",181,24649,HIGH,COMPLETE,CRITICAL,"A remote bytemessageresource transformentity"" input validation code execution vulnerability was discovered in HPE Intelligent Management Center (iMC) version(s): Prior to iMC PLAT 7.3 (E0705P07).","CWE-20",195,181,"10.0","10.0","9.8","3.9","409.7",195
"CVE-2020-24698","2020-10-08T15:17Z","2020-24698","9.8","6.8","8.6","3.9",89,24698,HIGH,PARTIAL,CRITICAL,"An issue was discovered in PowerDNS Authoritative through 4.3.0 when --enable-experimental-gss-tsig is used. A remote, unauthenticated attacker might be able to cause a double-free, leading to a crash or possibly arbitrary code execution. by sending crafted queries with a GSS-TSIG signature.","CWE-415",292,89,"6.8","8.6","9.8","3.9","410.1",292
"CVE-2021-40350","2021-09-09T20:29Z","2021-40350","9.8","7.5","10.0","3.9",100,40350,HIGH,PARTIAL,CRITICAL,"webctrl.cgi.elf on Christie Digital DWU850-GS V06.46 devices allows attackers to perform any desired action via a crafted query containing an unspecified Cookie header. Authentication bypass can be achieved by including an administrative cookie that the device does not validate.","CWE-287",279,100,"7.5","10.0","9.8","3.9","410.2",279
"CVE-2021-42952","2022-03-08T16:06Z","2021-42952","9.9","6.5","8.0","3.1",94,42952,HIGH,PARTIAL,CRITICAL,"Zepl Notebooks before 2021-10-25 are affected by a sandbox escape vulnerability. Upon launching Remote Code Execution from the Notebook, users can then use that to subsequently escape the running context sandbox and proceed to access internal Zepl assets including cloud metadata services.","NVD-CWE-noinfo",289,94,"6.5","8.0","9.9","3.1","410.5",289
"CVE-2021-21950","2021-12-14T16:19Z","2021-21950","9.8","10.0","10.0","3.9",100,21950,HIGH,COMPLETE,CRITICAL,"An out-of-bounds write vulnerability exists in the CMD_DEVICE_GET_SERVER_LIST_REQUEST functionality of the home_security binary of Anker Eufy Homebase 2 2.1.6.9h in function recv_server_device_response_msg_process. A specially-crafted network packet can lead to code execution.","CWE-787",277,100,"10.0","10.0","9.8","3.9","410.7",277
"CVE-2021-27470","2022-03-29T19:18Z","2021-27470","9.8","7.5","10.0","3.9",94,27470,HIGH,PARTIAL,CRITICAL,"A deserialization vulnerability exists in how the LogService.rem service in Rockwell Automation FactoryTalk AssetCentre v10.00 and earlier verifies serialized data. This vulnerability may allow a remote, unauthenticated attacker to execute arbitrary commands in FactoryTalk AssetCentre.","CWE-502",286,94,"7.5","10.0","9.8","3.9","411.2",286
"CVE-2021-39635","2022-02-15T18:07Z","2021-39635","9.1","9.4","10.0","3.9",88,39635,HIGH,COMPLETE,CRITICAL,"ims_ex is a vendor system service used to manage VoLTE in unisoc devices?But it does not verify the caller's permissions?so that normal apps (No phone permissions) can obtain some VoLTE sensitive information and manage VoLTE calls.Product: AndroidVersions: Android SoCAndroid ID: A-206492634","CWE-276",291,88,"9.4","10.0","9.1","3.9","411.4",291
"CVE-2021-33963","2022-01-24T13:16Z","2021-33963","9.8","10.0","10.0","3.9",115,33963,HIGH,COMPLETE,CRITICAL,"China Mobile An Lianbao WF-1 v1.0.1 router web interface through /api/ZRMacClone/mac_addr_clone receives parameters by POST request, and the parameter macType has a command injection vulnerability. An attacker can use the vulnerability to execute remote commands.","CWE-77",263,115,"10.0","10.0","9.8","3.9","411.7",263
"CVE-2021-26109","2021-12-09T20:52Z","2021-26109","9.8","7.5","10.0","3.9",106,26109,HIGH,PARTIAL,CRITICAL,"An integer overflow or wraparound vulnerability in the memory allocator of SSLVPN in FortiOS before 7.0.1 may allow an unauthenticated attacker to corrupt control data on the heap via specifically crafted requests to SSLVPN, resulting in potentially arbitrary code execution.","CWE-190",275,106,"7.5","10.0","9.8","3.9","412.2",275
"CVE-2021-41294","2021-10-07T16:47Z","2021-41294","9.1","6.4","10.0","3.9",128,41294,NONE,NONE,CRITICAL,"ECOA BAS controller suffers from a path traversal vulnerability, causing arbitrary files deletion. Using the specific GET parameter, unauthenticated attackers can remotely delete arbitrary files on the affected device and cause denial of service scenario.","CWE-22",255,128,"6.4","10.0","9.1","3.9","412.4",255
"CVE-2021-23894","2021-06-11T13:33Z","2021-23894","9.8","10.0","10.0","3.9",89,23894,HIGH,COMPLETE,CRITICAL,"Deserialization of untrusted data vulnerability in McAfee Database Security (DBSec) prior to 4.8.2 allows a remote unauthenticated attacker to create a reverse shell with administrator privileges on the DBSec server via carefully constructed Java serialized object sent to the DBSec server.","CWE-502",290,89,"10.0","10.0","9.8","3.9","412.7",290
"CVE-2021-31646","2021-05-04T00:32Z","2021-31646","9.8","7.5","10.0","3.9",99,31646,HIGH,PARTIAL,CRITICAL,"Gestsup before 3.2.10 allows account takeover through the password recovery functionality (remote). The affected component is the file forgot_pwd.php - it uses a weak algorithm for the generation of password recovery tokens (the PHP uniqueid function), allowing a brute force attack.","CWE-307",283,99,"7.5","10.0","9.8","3.9","413.2",283
"CVE-2021-29943","2021-06-08T13:51Z","2021-29943","9.1","6.4","10.0","3.9",94,29943,HIGH,PARTIAL,CRITICAL,"When using ConfigurableInternodeAuthHadoopPlugin for authentication, Apache Solr versions prior to 8.8.2 would forward/proxy distributed requests using server credentials instead of original client credentials. This would result in incorrect authorization resolution on the receiving hosts.","CWE-863",290,94,"6.4","10.0","9.1","3.9","413.4",290
"CVE-2020-29591","2020-12-15T17:39Z","2020-29591","9.8","10.0","10.0","3.9",134,29591,HIGH,COMPLETE,CRITICAL,"Versions of the Official registry Docker images through 2.7.0 contain a blank password for the root user. Systems deployed using affected versions of the registry container may allow a remote attacker to achieve root access with a blank password.","CWE-521",246,134,"10.0","10.0","9.8","3.9","413.7",246
"CVE-2021-46227","2022-03-09T22:42Z","2021-46227","9.8","7.5","10.0","3.9",111,46227,HIGH,PARTIAL,CRITICAL,"D-Link device DI-7200GV2.E1 v21.04.09E1 was discovered to contain a command injection vulnerability in the function proxy_client.asp. This vulnerability allows attackers to execute arbitrary commands via the proxy_srv, proxy_srvport, proxy_lanip, proxy_lanport parameters.","CWE-77",272,111,"7.5","10.0","9.8","3.9","414.2",272
"CVE-2020-35191","2020-12-18T16:54Z","2020-35191","9.8","10.0","10.0","3.9",98,35191,HIGH,COMPLETE,CRITICAL,"The official drupal docker images before 8.5.10-fpm-alpine (Alpine specific) contain a blank password for a root user. System using the drupal docker container deployed by affected versions of the docker image may allow a remote attacker to achieve root access with a blank password.","CWE-306",283,98,"10.0","10.0","9.8","3.9","414.7",283
"CVE-2021-27466","2022-03-29T18:20Z","2021-27466","9.8","7.5","10.0","3.9",94,27466,HIGH,PARTIAL,CRITICAL,"A deserialization vulnerability exists in how the ArchiveService.rem service in Rockwell Automation FactoryTalk AssetCentre v10.00 and earlier verifies serialized data. This vulnerability may allow a remote, unauthenticated attacker to execute arbitrary commands in FactoryTalk AssetCentre.","CWE-502",290,94,"7.5","10.0","9.8","3.9","415.2",290
"CVE-2021-31381","2021-10-26T16:51Z","2021-31381","9.1","6.4","10.0","3.9",95,31381,NONE,NONE,CRITICAL,"A configuration weakness in the JBoss Application Server (AppSvr) component of Juniper Networks SRC Series allows a remote attacker to send a specially crafted query to cause the web server to delete files which may allow the attacker to disrupt the integrity and availability of the system.","NVD-CWE-noinfo",291,95,"6.4","10.0","9.1","3.9","415.4",291
"CVE-2021-26566","2021-04-22T14:39Z","2021-26566","9.0","6.8","8.6","2.2",154,26566,HIGH,PARTIAL,CRITICAL,"Insertion of sensitive information into sent data vulnerability in synorelayd in Synology DiskStation Manager (DSM) before 6.2.3-25426-3 allows man-in-the-middle attackers to execute arbitrary commands via inbound QuickConnect traffic.","CWE-200",235,154,"6.8","8.6","9.0","2.2","415.6",235
"CVE-2020-29577","2020-12-22T14:34Z","2020-29577","9.8","10.0","10.0","3.9",128,29577,HIGH,COMPLETE,CRITICAL,"The official znc docker images before 1.7.1-slim contain a blank password for a root user. Systems using the znc docker container deployed by affected versions of the Docker image may allow an remote attacker to achieve root access with a blank password.","NVD-CWE-Other",254,128,"10.0","10.0","9.8","3.9","415.7",254
"CVE-2021-43086","2022-03-08T19:11Z","2021-43086","9.8","7.5","10.0","3.9",88,43086,HIGH,PARTIAL,CRITICAL,"ARM astcenc 3.2.0 is vulnerable to Buffer Overflow. When the compression function of the astc-encoder project with -cl option was used, a stack-buffer-overflow occurred in function encode_ise() in function compress_symbolic_block_for_partition_2planes() in ""/Source/astcenc_compress_symbolic.cpp"".","CWE-787",297,88,"7.5","10.0","9.8","3.9","416.2",297
"CVE-2021-21889","2022-01-03T22:53Z","2021-21889","9.9","6.5","8.0","3.1",100,21889,HIGH,PARTIAL,CRITICAL,"A stack-based buffer overflow vulnerability exists in the Web Manager Ping functionality of Lantronix PremierWave 2050 8.9.0.0R4 (in QEMU). A specially crafted HTTP request can lead to remote code execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-787",289,100,"6.5","8.0","9.9","3.1","416.5",289
"CVE-2020-24648","2020-10-21T17:21Z","2020-24648","9.8","10.0","10.0","3.9",181,24648,HIGH,COMPLETE,CRITICAL,"A accessmgrservlet classname deserialization of untrusted data remote code execution vulnerability was discovered in HPE Intelligent Management Center (iMC) version(s): Prior to iMC PLAT 7.3 (E0705P07).","CWE-502",202,181,"10.0","10.0","9.8","3.9","416.7",202
"CVE-2019-19108","2020-04-29T23:07Z","2019-19108","9.4","7.5","10.0","3.9",161,19108,LOW,PARTIAL,CRITICAL,"An authentication weakness in the SNMP service in B&R Automation Runtime versions 2.96, 3.00, 3.01, 3.06 to 3.10, 4.00 to 4.63, 4.72 and above allows unauthenticated users to modify the configuration of B&R products via SNMP.","CWE-798",225,161,"7.5","10.0","9.4","3.9","416.8",225
"CVE-2020-10064","2021-05-28T16:45Z","2020-10064","9.8","7.5","10.0","3.9",95,10064,HIGH,PARTIAL,CRITICAL,"Improper Input Frame Validation in ieee802154 Processing. Zephyr versions >= v1.14.2, >= v2.2.0 contain Stack-based Buffer Overflow (CWE-121), Heap-based Buffer Overflow (CWE-122). For more information, see https://github.com/zephyrproject-rtos/zephyr/security/advisories/GHSA-3gvq-h42f-v3c7","CWE-787",291,95,"7.5","10.0","9.8","3.9","417.2",291
"CVE-2021-21884","2022-01-03T23:01Z","2021-21884","9.1","9.0","8.0","2.3",100,21884,HIGH,COMPLETE,CRITICAL,"An OS command injection vulnerability exists in the Web Manager SslGenerateCSR functionality of Lantronix PremierWave 2050 8.9.0.0R4. A specially-crafted HTTP request can lead to arbitrary command execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-78",289,100,"9.0","8.0","9.1","2.3","417.4",289
"CVE-2020-15865","2021-07-21T11:39Z","2020-15865","9.8","10.0","10.0","3.9",88,15865,HIGH,COMPLETE,CRITICAL,"A Remote Code Execution vulnerability in Stimulsoft (aka Stimulsoft Reports) 2013.1.1600.0 allows an attacker to encode C# scripts as base-64 in the report XML file so that they will be compiled and executed on the server that processes this file. This can be used to fully compromise the server.","CWE-94",296,88,"10.0","10.0","9.8","3.9","417.7",296
"CVE-2021-23507","2022-02-09T17:39Z","2021-23507","9.8","7.5","10.0","3.9",104,23507,HIGH,PARTIAL,CRITICAL,"The package object-path-set before 1.0.2 are vulnerable to Prototype Pollution via the setPath method, as it allows an attacker to merge object prototypes into it. *Note:* This vulnerability derives from an incomplete fix in https://security.snyk.io/vuln/SNYK-JS-OBJECTPATHSET-607908","CWE-1321",283,104,"7.5","10.0","9.8","3.9","418.2",283
"CVE-2020-12032","2021-11-04T17:37Z","2020-12032","9.1","6.4","10.0","3.9",128,12032,HIGH,PARTIAL,CRITICAL,"Baxter ExactaMix EM 2400 Versions 1.10, 1.11 and ExactaMix EM1200 Versions 1.1, 1.2 systems store device data with sensitive information in an unencrypted database. This could allow an attacker with network access to view or modify sensitive data including PHI.","CWE-312",261,128,"6.4","10.0","9.1","3.9","418.4",261
"CVE-2020-15833","2021-02-04T15:23Z","2020-15833","9.8","10.0","10.0","3.9",105,15833,HIGH,COMPLETE,CRITICAL,"An issue was discovered on Mofi Network MOFI4500-4GXeLTE 4.1.5-std devices. The Dropbear SSH daemon has been modified to accept an alternate hard-coded path to a public key that allows root access. This key is stored in a /rom location that cannot be modified by the device owner.","CWE-798",280,105,"10.0","10.0","9.8","3.9","418.7",280
"CVE-2021-21881","2022-01-03T23:07Z","2021-21881","9.9","9.0","8.0","3.1",100,21881,HIGH,COMPLETE,CRITICAL,"An OS command injection vulnerability exists in the Web Manager Wireless Network Scanner functionality of Lantronix PremierWave 2050 8.9.0.0R4. A specially-crafted HTTP request can lead to command execution. An attacker can make an authenticated HTTP request to trigger this vulnerability.","CWE-78",289,100,"9.0","8.0","9.9","3.1","419.0",289
"CVE-2021-24045","2021-12-15T21:49Z","2021-24045","9.8","6.8","8.6","3.9",94,24045,HIGH,PARTIAL,CRITICAL,"A type confusion vulnerability could be triggered when resolving the ""typeof"" unary operator in Facebook Hermes prior to v0.10.0. Note that this is only exploitable if the application using Hermes permits evaluation of untrusted JavaScript. Hence, most React Native applications are not affected.","CWE-843",296,94,"6.8","8.6","9.8","3.9","419.1",296
"CVE-2021-44031","2021-12-28T14:55Z","2021-44031","9.8","7.5","10.0","3.9",89,44031,HIGH,PARTIAL,CRITICAL,"An issue was discovered in Quest KACE Desktop Authority before 11.2. /dacomponentui/profiles/profileitems/outlooksettings/Insertimage.aspx contains a vulnerability that could allow pre-authentication remote code execution. An attacker could upload a .ASP file to reside at /images/{GUID}/{filename}.","CWE-434",299,89,"7.5","10.0","9.8","3.9","419.2",299
"CVE-2021-44140","2021-11-29T14:42Z","2021-44140","9.1","6.4","10.0","3.9",94,44140,NONE,NONE,CRITICAL,"Remote attackers may delete arbitrary files in a system hosting a JSPWiki instance, versions up to 2.11.0.M8, by using a carefuly crafted http request on logout, given that those files are reachable to the user running the JSPWiki instance. Apache JSPWiki users should upgrade to 2.11.0 or later.","CWE-276",296,94,"6.4","10.0","9.1","3.9","419.4",296
